"state","AverageTemperatureF","AverageTemperatureC","AverageTemperatureAvgAnnualPrecipitationIn","AverageTemperatureAvgHighF","AverageTemperatureAvgLowF"
"Alabama",62.8,17.1,56.9,75,52.2
"Alaska",26.6,-3,37.6,35.5,20.4
"Arizona",60.3,15.7,11.6,75.3,46.8
"Arkansas",60.4,15.8,52.5,71.8,50.2
"California",59.4,15.2,22.3,71.5,46.5
"Colorado",45.1,7.3,18,60,32.4
"Connecticut",49,9.4,48.7,60,39.8
"Delaware",55.3,12.9,45.9,66.1,46.3
"Florida",70.7,21.5,54.4,81.9,60.9
"Georgia",63.5,17.5,50.4,75.6,52.7
"Hawaii",70,21.1,43.2,80.4,66.6
"Idaho",44.4,6.9,23.7,55.7,32.1
"Illinois",51.8,11,40.7,62.7,42.6
"Indiana",51.7,10.9,43.6,62.5,42.2
"Iowa",47.8,8.8,35.6,58.5,38.1
"Kansas",54.3,12.4,29,67.5,42.6
"Kentucky",55.6,13.1,50.4,67.2,45.4
"Louisiana",66.4,19.1,59.7,77.5,56.7
"Maine",41,5,45.5,51.9,31.7
"Maryland",54.2,12.3,45.2,65.4,45.4
"Massachusetts",47.9,8.8,48.6,58.8,38.7
"Michigan",44.4,6.9,33.9,55,35.3
"Minnesota",41.2,5.1,28.6,51.9,31.4
"Mississippi",63.4,17.4,58.5,75.3,53
"Missouri",54.5,12.5,43.5,66,44.5
"Montana",42.7,5.9,18.9,54.7,30.4
"Nebraska",48.8,9.3,24.2,61.9,36.9
"Nevada",49.9,9.9,10.2,64.6,37.4
"New Hampshire",43.8,6.6,47.9,54.7,33.3
"New Jersey",52.7,11.5,47.6,63.6,43.6
"New Mexico",53.4,11.9,13.8,69.5,39.4
"New York",45.4,7.4,43.5,55.9,36.1
"North Carolina",59,15,50.8,70.5,48.6
"North Dakota",40.4,4.7,18.8,52.2,29.8
"Ohio",50.7,10.4,41.1,61.7,41.6
"Oklahoma",59.6,15.3,36.4,72.3,48.3
"Oregon",48.4,9.1,32.1,59.4,36.4
"Pennsylvania",48.8,9.3,45,59.7,39.2
"Rhode Island",50.1,10.1,49.1,60,41.3
"South Carolina",62.4,16.9,48.3,74.7,52
"South Dakota",45.2,7.3,21.2,57.5,33.8
"Tennessee",57.6,14.2,55.1,69.4,47.5
"Texas",64.8,18.2,28.6,78.1,53.5
"Utah",48.6,9.2,13.5,62,36.4
"Vermont",42.9,6.1,46,53.4,32.7
"Virginia",55.1,12.8,45.8,66.9,45.1
"Washington",48.3,9.1,43.2,57,37.6
"West Virginia",51.8,11,47.1,63.5,41.7
"Wisconsin",43.1,6.2,34.1,54,33.7
"Wyoming",42,5.6,16,55.2,29.3